Mixer name: 'msm8974-taiko-mtp-snd-card'
Number of controls: 693
ctl	type	num	name                                     value
123	ENUM	1	AUDIO_REF_EC_UL1 MUX                     PROXY_RX
124	ENUM	1	VOC_EXT_EC MUX                           (null)
125	ENUM	2	SLIM0_RX_VI_FB_LCH_MUX                   ZERO ZERO
126	BOOL	1	QCHAT_Tx Mixer PRI_TX_QCHAT              Off
127	BOOL	1	QCHAT_Tx Mixer SLIM_0_TX_QCHAT           Off
128	BOOL	1	QCHAT_Tx Mixer INTERNAL_BT_SCO_TX_QCHAT  Off
129	BOOL	1	QCHAT_Tx Mixer AFE_PCM_TX_QCHAT          Off
130	BOOL	1	QCHAT_Tx Mixer AUX_PCM_TX_QCHAT          Off
131	BOOL	1	QCHAT_Tx Mixer SEC_AUX_PCM_TX_QCHAT      Off
132	BOOL	1	QCHAT_Tx Mixer MI2S_TX_QCHAT             Off
133	BOOL	1	QCHAT_Tx Mixer PRI_MI2S_TX_QCHAT         Off
134	BOOL	1	PRI_MI2S_RX Port Mixer SEC_MI2S_TX       Off
135	BOOL	1	QUAT_MI2S_RX Port Mixer SLIM_0_TX        Off
136	BOOL	1	MI2S_RX Port Mixer SLIM_1_TX             Off
137	BOOL	1	MI2S_RX Port Mixer MI2S_TX               Off
138	BOOL	1	SLIMBUS_3_RX Port Mixer INTERNAL_BT_SCO_RX Off
139	BOOL	1	SLIMBUS_3_RX Port Mixer MI2S_TX          Off
140	BOOL	1	SEC_I2S_RX Port Mixer MI2S_TX            Off
141	BOOL	1	HDMI_RX Port Mixer MI2S_TX               Off
142	BOOL	1	AFE_PCM_RX Port Mixer INTERNAL_FM_TX     Off
143	BOOL	1	AFE_PCM_RX Port Mixer SLIM_0_TX          Off
144	BOOL	1	INTERNAL_BT_SCO_RX Port Mixer SLIM_1_TX  Off
145	BOOL	1	INTERNAL_BT_SCO_RX Port Mixer SLIM_0_TX  Off
146	BOOL	1	SLIMBUS_1_RX Port Mixer INTERNAL_BT_SCO_TX Off
147	BOOL	1	SEC_AUXPCM_RX Port Mixer SEC_AUX_PCM_UL_TX Off
148	BOOL	1	SEC_AUXPCM_RX Port Mixer SLIM_0_TX       Off
149	BOOL	1	SEC_AUXPCM_RX Port Mixer AUX_PCM_UL_TX   Off
150	BOOL	1	AUXPCM_RX Port Mixer AUX_PCM_UL_TX       Off
151	BOOL	1	AUXPCM_RX Port Mixer SLIM_0_TX           Off
152	BOOL	1	AUXPCM_RX Port Mixer SEC_AUX_PCM_UL_TX   Off
153	BOOL	1	SLIMBUS_0_RX Port Mixer INTERNAL_FM_TX   Off
154	BOOL	1	SLIMBUS_0_RX Port Mixer SLIM_0_TX        Off
155	BOOL	1	SLIMBUS_0_RX Port Mixer AUX_PCM_UL_TX    Off
156	BOOL	1	SLIMBUS_0_RX Port Mixer SEC_AUX_PCM_UL_TX Off
157	BOOL	1	SLIMBUS_0_RX Port Mixer MI2S_TX          Off
158	BOOL	1	SLIMBUS_0_RX Port Mixer INTERNAL_BT_SCO_TX Off
159	BOOL	1	SLIMBUS_3_RX_Voice Mixer Voice Stub      Off
160	BOOL	1	SLIMBUS_1_RX Mixer Voice Stub            Off
161	BOOL	1	STUB_RX Mixer Voice Stub                 Off
162	BOOL	1	Voice Stub Tx Mixer STUB_TX_HL           Off
163	BOOL	1	Voice Stub Tx Mixer INTERNAL_BT_SCO_TX   Off
164	BOOL	1	Voice Stub Tx Mixer SLIM_1_TX            Off
165	BOOL	1	Voice Stub Tx Mixer STUB_1_TX_HL         Off
166	BOOL	1	Voice Stub Tx Mixer MI2S_TX              Off
167	BOOL	1	Voice Stub Tx Mixer QUAT_MI2S_TX         Off
168	BOOL	1	Voice Stub Tx Mixer AUX_PCM_UL_TX        Off
