Mixer name: 'msm8974-taiko-mtp-snd-card'
Number of controls: 693
ctl	type	num	name                                     value
404	BOOL	1	SEC_MI2S_RX Audio Mixer MultiMedia2      Off
405	BOOL	1	SEC_MI2S_RX Audio Mixer MultiMedia3      Off
406	BOOL	1	SEC_MI2S_RX Audio Mixer MultiMedia4      Off
407	BOOL	1	SEC_MI2S_RX Audio Mixer MultiMedia5      Off
408	BOOL	1	TERT_MI2S_RX Audio Mixer MultiMedia1     Off
409	BOOL	1	TERT_MI2S_RX Audio Mixer MultiMedia2     Off
410	BOOL	1	TERT_MI2S_RX Audio Mixer MultiMedia3     Off
411	BOOL	1	TERT_MI2S_RX Audio Mixer MultiMedia4     Off
412	BOOL	1	QUAT_MI2S_RX Audio Mixer MultiMedia1     Off
413	BOOL	1	QUAT_MI2S_RX Audio Mixer MultiMedia2     Off
414	BOOL	1	QUAT_MI2S_RX Audio Mixer MultiMedia3     Off
415	BOOL	1	QUAT_MI2S_RX Audio Mixer MultiMedia4     Off
416	BOOL	1	QUAT_MI2S_RX Audio Mixer MultiMedia5     Off
417	BOOL	1	QUAT_MI2S_RX Audio Mixer MultiMedia6     Off
418	BOOL	1	QUAT_MI2S_RX Audio Mixer MultiMedia7     Off
419	BOOL	1	QUAT_MI2S_RX Audio Mixer MultiMedia8     Off
420	BOOL	1	QUAT_MI2S_RX Audio Mixer MultiMedia9     Off
421	BOOL	1	QUAT_MI2S_RX Audio Mixer MultiMedia10    Off
422	BOOL	1	MI2S_RX Audio Mixer MultiMedia1          Off
423	BOOL	1	MI2S_RX Audio Mixer MultiMedia2          Off
424	BOOL	1	MI2S_RX Audio Mixer MultiMedia3          Off
425	BOOL	1	MI2S_RX Audio Mixer MultiMedia4          Off
426	BOOL	1	MI2S_RX Audio Mixer MultiMedia5          Off
427	BOOL	1	MI2S_RX Audio Mixer MultiMedia6          Off
428	BOOL	1	MI2S_RX Audio Mixer MultiMedia7          Off
429	BOOL	1	MI2S_RX Audio Mixer MultiMedia8          Off
430	BOOL	1	MI2S_RX Audio Mixer MultiMedia9          Off
431	BOOL	1	MI2S_RX Audio Mixer MultiMedia10         Off
432	BOOL	1	HDMI Mixer MultiMedia1                   Off
433	BOOL	1	HDMI Mixer MultiMedia2                   Off
434	BOOL	1	HDMI Mixer MultiMedia3                   Off
435	BOOL	1	HDMI Mixer MultiMedia4                   Off
436	BOOL	1	HDMI Mixer MultiMedia5                   Off
437	BOOL	1	HDMI Mixer MultiMedia6                   Off
438	BOOL	1	HDMI Mixer MultiMedia7                   Off
439	BOOL	1	HDMI Mixer MultiMedia8                   Off
440	BOOL	1	HDMI Mixer MultiMedia9                   Off
441	BOOL	1	HDMI Mixer MultiMedia10                  Off
442	BOOL	1	SLIMBUS_0_RX Audio Mixer MultiMedia1     On
443	BOOL	1	SLIMBUS_0_RX Audio Mixer MultiMedia2     Off
444	BOOL	1	SLIMBUS_0_RX Audio Mixer MultiMedia3     Off
445	BOOL	1	SLIMBUS_0_RX Audio Mixer MultiMedia4     Off
446	BOOL	1	SLIMBUS_0_RX Audio Mixer MultiMedia5     Off
447	BOOL	1	SLIMBUS_0_RX Audio Mixer MultiMedia6     Off
448	BOOL	1	SLIMBUS_0_RX Audio Mixer MultiMedia7     Off
449	BOOL	1	SLIMBUS_0_RX Audio Mixer MultiMedia8     Off
450	BOOL	1	SLIMBUS_0_RX Audio Mixer MultiMedia9     Off
451	BOOL	1	SLIMBUS_0_RX Audio Mixer MultiMedia10    Off
452	BOOL	1	SEC_RX Audio Mixer MultiMedia1           Off
453	BOOL	1	SEC_RX Audio Mixer MultiMedia2           Off
454	BOOL	1	SEC_RX Audio Mixer MultiMedia3           Off
455	BOOL	1	SEC_RX Audio Mixer MultiMedia4           Off
456	BOOL	1	SEC_RX Audio Mixer MultiMedia5           Off
457	BOOL	1	SEC_RX Audio Mixer MultiMedia6           Off
458	BOOL	1	SEC_RX Audio Mixer MultiMedia7           Off
459	BOOL	1	SEC_RX Audio Mixer MultiMedia8           Off
460	BOOL	1	SEC_RX Audio Mixer MultiMedia9           Off
461	BOOL	1	SEC_RX Audio Mixer MultiMedia10          Off
462	BOOL	1	PRI_RX Audio Mixer MultiMedia1           Off
463	BOOL	1	PRI_RX Audio Mixer MultiMedia2           Off
464	BOOL	1	PRI_RX Audio Mixer MultiMedia3           Off
465	BOOL	1	PRI_RX Audio Mixer MultiMedia4           Off
466	BOOL	1	PRI_RX Audio Mixer MultiMedia5           Off
467	BOOL	1	PRI_RX Audio Mixer MultiMedia6           Off
468	BOOL	1	PRI_RX Audio Mixer MultiMedia7           Off
469	BOOL	1	PRI_RX Audio Mixer MultiMedia8           Off
470	BOOL	1	PRI_RX Audio Mixer MultiMedia9           Off
471	BOOL	1	PRI_RX Audio Mixer MultiMedia10          Off
472	ENUM	1	SLIM_0_RX AANC MUX                       ZERO
473	ENUM	1	LSM8 MUX                                 None
474	ENUM	1	LSM7 MUX                                 None
475	ENUM	1	LSM6 MUX                                 None
476	ENUM	1	LSM5 MUX                                 None
477	ENUM	1	LSM4 MUX                                 None
478	ENUM	1	LSM3 MUX                                 None
479	ENUM	1	LSM2 MUX                                 None
480	ENUM	1	LSM1 MUX                                 None
481	BOOL	1	PRI_MI2S_RX_DL_HL Switch                 Off
482	BOOL	1	PCM_RX_DL_HL Switch                      Off
483	BOOL	1	SLIMBUS4_DL_HL Switch                    Off
484	BOOL	1	SLIMBUS3_DL_HL Switch                    Off
485	BOOL	1	SLIMBUS1_DL_HL Switch                    Off
486	BOOL	1	SLIMBUS_DL_HL Switch                     Off
487	BOOL	1	VIONOFF Switch                           Off
488	BOOL	1	LINEOUT4_PA_MIXER AUX_PGA_R Switch       Off
489	BOOL	1	LINEOUT3_PA_MIXER AUX_PGA_L Switch       Off
490	BOOL	1	LINEOUT2_PA_MIXER AUX_PGA_R Switch       Off
491	BOOL	1	LINEOUT1_PA_MIXER AUX_PGA_L Switch       Off
492	BOOL	1	HPHR_PA_MIXER AUX_PGA_R Switch           Off
493	BOOL	1	HPHL_PA_MIXER AUX_PGA_L Switch           Off
494	BOOL	1	EAR_PA_MIXER AUX_PGA_L Switch            Off
495	ENUM	1	IIR2 INP2 MUX                            ZERO
496	ENUM	1	IIR2 INP1 MUX                            ZERO
497	ENUM	1	IIR1 INP2 MUX                            ZERO
498	ENUM	1	IIR1 INP1 MUX                            ZERO
499	ENUM	1	SLIM TX10 MUX                            ZERO
500	ENUM	1	SLIM TX9 MUX                             ZERO
501	ENUM	1	SLIM TX8 MUX                             ZERO
502	ENUM	1	SLIM TX7 MUX                             ZERO
503	ENUM	1	SLIM TX6 MUX                             ZERO
504	ENUM	1	SLIM TX5 MUX                             ZERO
505	ENUM	1	SLIM TX4 MUX                             ZERO
506	ENUM	1	SLIM TX3 MUX                             ZERO
507	ENUM	1	SLIM TX2 MUX                             ZERO
508	ENUM	1	SLIM TX1 MUX                             ZERO
509	BOOL	1	AIF3_CAP Mixer SLIM TX1                  Off
510	BOOL	1	AIF3_CAP Mixer SLIM TX2                  Off
511	BOOL	1	AIF3_CAP Mixer SLIM TX3                  Off
512	BOOL	1	AIF3_CAP Mixer SLIM TX4                  Off
513	BOOL	1	AIF3_CAP Mixer SLIM TX5                  Off
514	BOOL	1	AIF3_CAP Mixer SLIM TX6                  Off
515	BOOL	1	AIF3_CAP Mixer SLIM TX7                  Off
516	BOOL	1	AIF3_CAP Mixer SLIM TX8                  Off
517	BOOL	1	AIF3_CAP Mixer SLIM TX9                  Off
518	BOOL	1	AIF3_CAP Mixer SLIM TX10                 Off
519	BOOL	1	AIF2_CAP Mixer SLIM TX1                  Off
520	BOOL	1	AIF2_CAP Mixer SLIM TX2                  Off
521	BOOL	1	AIF2_CAP Mixer SLIM TX3                  Off
522	BOOL	1	AIF2_CAP Mixer SLIM TX4                  Off
523	BOOL	1	AIF2_CAP Mixer SLIM TX5                  Off
524	BOOL	1	AIF2_CAP Mixer SLIM TX6                  Off
525	BOOL	1	AIF2_CAP Mixer SLIM TX7                  Off
526	BOOL	1	AIF2_CAP Mixer SLIM TX8                  Off
527	BOOL	1	AIF2_CAP Mixer SLIM TX9                  Off
528	BOOL	1	AIF2_CAP Mixer SLIM TX10                 Off
529	BOOL	1	AIF1_CAP Mixer SLIM TX1                  Off
530	BOOL	1	AIF1_CAP Mixer SLIM TX2                  Off
531	BOOL	1	AIF1_CAP Mixer SLIM TX3                  Off
532	BOOL	1	AIF1_CAP Mixer SLIM TX4                  Off
533	BOOL	1	AIF1_CAP Mixer SLIM TX5                  Off
534	BOOL	1	AIF1_CAP Mixer SLIM TX6                  Off
535	BOOL	1	AIF1_CAP Mixer SLIM TX7                  Off
536	BOOL	1	AIF1_CAP Mixer SLIM TX8                  Off
537	BOOL	1	AIF1_CAP Mixer SLIM TX9                  Off
538	BOOL	1	AIF1_CAP Mixer SLIM TX10                 Off
539	BOOL	1	MADONOFF Switch                          Off
540	ENUM	1	ANC1 FB MUX                              ZERO
541	ENUM	1	ANC2 MUX                                 ZERO
542	ENUM	1	ANC1 MUX                                 ZERO
543	ENUM	1	DEC10 MUX                                ZERO
544	ENUM	1	DEC9 MUX                                 ZERO
545	ENUM	1	DEC8 MUX                                 ZERO
546	ENUM	1	DEC7 MUX                                 ZERO
547	ENUM	1	DEC6 MUX                                 ZERO
548	ENUM	1	DEC5 MUX                                 ZERO
549	ENUM	1	DEC4 MUX                                 ZERO
550	ENUM	1	DEC3 MUX                                 ZERO
551	ENUM	1	DEC2 MUX                                 ZERO
552	ENUM	1	DEC1 MUX                                 ZERO
553	ENUM	1	CLASS_H_DSM MUX                          DSM_HPHL_RX1
554	ENUM	1	RDAC7 MUX                                DEM6
555	ENUM	1	RDAC5 MUX                                DEM4
556	ENUM	1	RX7 MIX2 INP2                            ZERO
557	ENUM	1	RX7 MIX2 INP1                            ZERO
558	ENUM	1	RX2 MIX2 INP2                            ZERO
559	ENUM	1	RX2 MIX2 INP1                            ZERO
560	ENUM	1	RX1 MIX2 INP2                            ZERO
561	ENUM	1	RX1 MIX2 INP1                            ZERO
562	ENUM	1	RX7 MIX1 INP2                            ZERO
563	ENUM	1	RX7 MIX1 INP1                            ZERO
564	ENUM	1	RX6 MIX1 INP2                            ZERO
565	ENUM	1	RX6 MIX1 INP1                            ZERO
566	ENUM	1	RX5 MIX1 INP2                            ZERO
567	ENUM	1	RX5 MIX1 INP1                            ZERO
568	ENUM	1	RX4 MIX1 INP2                            ZERO
569	ENUM	1	RX4 MIX1 INP1                            ZERO
570	ENUM	1	RX3 MIX1 INP2                            ZERO
571	ENUM	1	RX3 MIX1 INP1                            ZERO
572	ENUM	1	RX2 MIX1 INP2                            ZERO
573	ENUM	1	RX2 MIX1 INP1                            RX2
574	ENUM	1	RX1 MIX1 INP3                            ZERO
575	ENUM	1	RX1 MIX1 INP2                            ZERO
576	ENUM	1	RX1 MIX1 INP1                            RX1
577	ENUM	1	RX2 INTERP                               RX2 MIX2
578	ENUM	1	RX1 INTERP                               RX1 MIX2
579	BOOL	1	HPHL DAC Switch                          On
580	ENUM	1	SLIM RX7 MUX                             ZERO
581	ENUM	1	SLIM RX6 MUX                             ZERO
582	ENUM	1	SLIM RX5 MUX                             ZERO
583	ENUM	1	SLIM RX4 MUX                             ZERO
584	ENUM	1	SLIM RX3 MUX                             ZERO
585	ENUM	1	SLIM RX2 MUX                             AIF1_PB
586	ENUM	1	SLIM RX1 MUX                             AIF1_PB
587	BOOL	1	DAC1 Switch                              Off
588	INT	1	Internal FM RX Volume                    0
589	INT	1	Internal HFP RX Volume                   0
590	BOOL	1	MultiMedia1 EQ Enable                    Off
591	BOOL	1	MultiMedia2 EQ Enable                    Off
592	BOOL	1	MultiMedia3 EQ Enable                    Off
593	INT	1	MultiMedia1 EQ Band Count                0
594	INT	1	MultiMedia2 EQ Band Count                0
595	INT	1	MultiMedia3 EQ Band Count                0
596	INT	5	MultiMedia1 EQ Band1                     0 0 0 0 0
597	INT	5	MultiMedia1 EQ Band2                     0 0 0 0 0
598	INT	5	MultiMedia1 EQ Band3                     0 0 0 0 0
599	INT	5	MultiMedia1 EQ Band4                     0 0 0 0 0
600	INT	5	MultiMedia1 EQ Band5                     0 0 0 0 0
601	INT	5	MultiMedia1 EQ Band6                     0 0 0 0 0
602	INT	5	MultiMedia1 EQ Band7                     0 0 0 0 0
603	INT	5	MultiMedia1 EQ Band8                     0 0 0 0 0
604	INT	5	MultiMedia1 EQ Band9                     0 0 0 0 0
605	INT	5	MultiMedia1 EQ Band10                    0 0 0 0 0
606	INT	5	MultiMedia1 EQ Band11                    2672 175161748 49556 175898624 175948180
607	INT	5	MultiMedia1 EQ Band12                    2896 189841812 49556 190578688 190628244
608	INT	5	MultiMedia2 EQ Band1                     0 0 0 0 0
609	INT	5	MultiMedia2 EQ Band2                     0 0 0 0 0
610	INT	5	MultiMedia2 EQ Band3                     0 0 0 0 0
611	INT	5	MultiMedia2 EQ Band4                     0 0 0 0 0
612	INT	5	MultiMedia2 EQ Band5                     0 0 0 0 0
613	INT	5	MultiMedia2 EQ Band6                     0 0 0 0 0
614	INT	5	MultiMedia2 EQ Band7                     0 0 0 0 0
615	INT	5	MultiMedia2 EQ Band8                     0 0 0 0 0
616	INT	5	MultiMedia2 EQ Band9                     0 0 0 0 0
617	INT	5	MultiMedia2 EQ Band10                    0 0 0 0 0
618	INT	5	MultiMedia2 EQ Band11                    49556 0 -1047262584 -1047262584 0
619	INT	5	MultiMedia2 EQ Band12                    49556 0 0 0 0
620	INT	5	MultiMedia3 EQ Band1                     0 0 0 0 0
621	INT	5	MultiMedia3 EQ Band2                     0 0 0 0 0
622	INT	5	MultiMedia3 EQ Band3                     0 0 0 0 0
623	INT	5	MultiMedia3 EQ Band4                     0 0 0 0 0
624	INT	5	MultiMedia3 EQ Band5                     0 0 0 0 0
625	INT	5	MultiMedia3 EQ Band6                     0 0 0 0 0
626	INT	5	MultiMedia3 EQ Band7                     0 0 0 0 0
627	INT	5	MultiMedia3 EQ Band8                     0 0 0 0 0
628	INT	5	MultiMedia3 EQ Band9                     0 0 0 0 0
629	INT	5	MultiMedia3 EQ Band10                    0 0 0 0 0
630	INT	5	MultiMedia3 EQ Band11                    2708 177521044 49556 0 0
631	INT	5	MultiMedia3 EQ Band12                    0 0 0 192937984 192987540
632	INT	1	HIFI2 RX Volume                          0
633	INT	1	HIFI3 RX Volume                          0
634	INT	1	SRS TruMedia                             0
635	INT	1	SRS TruMedia HDMI                        0
636	INT	1	SRS TruMedia I2S                         0
637	INT	8	Playback Channel Map                     0 0 0 0 0 0 0 0
638	ENUM	1	SLIMBUS_0_TX LSM Function                None
639	ENUM	1	SLIMBUS_1_TX LSM Function                None
640	ENUM	1	SLIMBUS_2_TX LSM Function                None
641	ENUM	1	SLIMBUS_3_TX LSM Function                None
642	ENUM	1	SLIMBUS_4_TX LSM Function                None
643	ENUM	1	SLIMBUS_5_TX LSM Function                None
644	ENUM	1	AANC_SLIM_0_RX MUX                       ZERO
645	INT	1	DS1 Security                             0
646	INT	128	DS1 DAP Set Param                        0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
647	INT	128	DS1 DAP Get Param                        -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
648	INT	41	DS1 DAP Get Visualizer                   -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
649	INT	1	DS1 DAP Endpoint                         0
650	INT	1	Get RMS                                  0
651	INT	1	Voc VSID                                 -1
652	ENUM	1	HDMI RX Format                           LPCM
653	INT	1	HDMI RX CA                               0
654	Unknown	0	HDMI EDID                                
655	INT	8	Playback Channel Map0                    0 0 0 0 0 0 0 0
656	INT	1	Playback 0 Volume                        0
657	INT	8	Playback Channel Map1                    0 0 0 0 0 0 0 0
658	INT	1	Playback 1 Volume                        0
659	INT	8	Playback Channel Map4                    0 0 0 0 0 0 0 0
660	INT	1	Playback 4 Volume                        0
661	INT	2	Compress Playback 9 Volume               8192 8192
662	INT	128	Audio Effects Config 9                   0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
663	INT	128	Sony Audio Effects Config 9              0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
664	INT	128	Audio Stream 9 Dec Params                0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
665	INT	8	Playback Channel Map15                   0 0 0 0 0 0 0 0
666	INT	1	Playback 15 Volume                       0
667	INT	2	Compress Playback 17 Volume              8192 8192
668	INT	128	Audio Effects Config 17                  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
669	INT	128	Sony Audio Effects Config 17             0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
670	INT	128	Audio Stream 17 Dec Params               0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
671	INT	2	Compress Playback 18 Volume              8192 8192
672	INT	128	Audio Effects Config 18                  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
673	INT	128	Sony Audio Effects Config 18             0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
674	INT	128	Audio Stream 18 Dec Params               0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
675	INT	2	Compress Playback 19 Volume              8192 8192
676	INT	128	Audio Effects Config 19                  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
677	INT	128	Sony Audio Effects Config 19             0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
678	INT	128	Audio Stream 19 Dec Params               0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
679	INT	1	Playback 24 Volume                       -1
680	INT	8	Playback Channel Map35                   0 0 0 0 0 0 0 0
681	INT	1	Playback 35 Volume                       0
682	ENUM	1	Speaker Function                         On
683	ENUM	1	SLIM_0_RX Channels                       Two
684	ENUM	1	SLIM_0_TX Channels                       One
685	ENUM	1	AUX PCM SampleRate                       (null)
686	ENUM	1	HDMI_RX Channels                         Two
687	ENUM	1	SLIM_0_RX Format                         S16_LE
688	ENUM	1	SLIM_0_RX SampleRate                     KHZ_48
689	ENUM	1	HDMI_RX Bit Format                       S16_LE
690	ENUM	1	PROXY_RX Channels                        Two
691	ENUM	1	Internal BTSCO SampleRate                (null)
692	ENUM	1	HDMI_RX SampleRate                       KHZ_48
